timestamp,src_ip,dst_ip,protocol,packet_size,port,failed_logins,login_frequency,cpu_usage,api_calls,file_entropy,anomaly_score,attack_type
2025-12-20 07:06:00.071044,106.26.54.113,235.153.22.233,HTTP,302,3389,6,83,29,350,3.450714306409916,0.146398788362281,Normal
2025-12-20 12:29:09.071044,168.11.87.215,171.112.75.85,TCP,287,80,1,88,13,825,2.6428668179219406,0.13017769458977058,Normal
2025-12-20 02:34:42.071044,11.156.244.240,179.80.112.44,UDP,585,443,11,89,10,494,2.8042422429595377,0.10495128632644757,Normal
2025-12-20 09:50:39.071044,228.248.57.66,97.162.85.11,HTTP,258,8080,14,62,19,977,2.5466656632136155,0.19475110376829186,Normal
2025-12-20 17:44:46.071044,65.119.18.179,139.227.207.37,TCP,374,443,2,51,28,666,2.8824619912671627,0.19664617716135765,Normal
2025-12-19 16:08:17.071044,155.212.62.61,18.195.112.115,UDP,220,22,13,9,18,584,2.5650515929852795,0.18977710745066667,Normal
2025-12-20 06:34:37.071044,208.171.233.116,236.156.92.113,TCP,585,80,11,8,29,54,2.7410254660260116,0.13665270376509164,Normal
2025-12-20 10:09:12.071044,143.215.173.16,254.76.143.80,HTTP,405,3389,1,6,26,585,2.758779981600017,0.1325044568707964,Normal
2025-12-20 10:30:09.071044,220.173.138.152,72.195.220.173,HTTP,305,3389,11,34,13,221,2.684854455525527,0.19391692555291173,Normal
2025-12-19 21:29:57.071044,34.64.158.16,54.44.147.132,TCP,469,8080,7,85,25,739,2.8265407688058355,0.11408879488107988,Normal
2025-12-19 19:12:29.071044,120.84.254.99,59.205.131.33,TCP,436,22,12,41,27,34,3.0396921323890798,0.11735023313276965,Normal
2025-12-19 22:49:43.071044,150.130.70.153,130.15.252.169,TCP,500,80,0,8,10,1106,2.515636406741194,0.08468029614127393,Normal
2025-12-20 12:21:32.071044,98.174.225.107,240.190.101.156,HTTP,338,22,0,5,28,250,3.2068573438476173,0.14580143360819747,Normal
2025-12-20 05:42:07.071044,205.182.34.181,201.154.9.33,HTTP,240,22,0,48,16,522,3.350038577789799,0.08989013482764069,Normal
2025-12-19 19:37:47.071044,242.31.88.28,210.191.180.63,UDP,261,80,2,65,14,632,3.229606178338064,0.12751149427104264,Normal
2025-12-20 16:36:13.071044,72.170.159.207,75.135.85.53,UDP,330,443,13,27,10,412,3.2217295211648733,0.04719698394979115,Normal
2025-12-20 08:33:11.071044,158.46.168.251,82.35.181.231,UDP,406,443,18,63,24,883,2.6108908208118313,0.08786730037315403,Normal
2025-12-20 06:08:05.071044,47.129.45.248,183.158.74.229,TCP,430,80,4,23,26,250,2.814355981076327,0.10171413823294057,Normal
2025-12-19 22:56:41.071044,68.116.97.226,6.175.93.35,TCP,436,80,6,59,24,1129,3.2555511385430487,0.045759633098324495,Normal
2025-12-19 20:48:40.071044,245.55.131.78,190.183.174.132,HTTP,483,8080,5,28,11,1071,3.1243540481337932,0.0591267371675428,Normal
2025-12-19 20:49:51.071044,159.153.10.47,173.9.195.141,UDP,307,3389,6,62,21,652,2.916509947870366,0.17665605178377367,Normal
2025-12-20 08:43:18.071044,243.93.3.245,230.149.165.236,HTTP,315,443,7,27,22,668,3.3607305832563434,0.0013904261062381408,Normal
2025-12-19 16:47:36.071044,134.183.198.65,87.91.255.213,HTTP,517,22,14,59,14,1156,3.1924360328902703,0.053882466759704296,Normal
2025-12-19 22:36:17.071044,47.96.234.59,195.238.223.92,TCP,517,8080,6,2,26,1156,2.7539154139343447,0.04937521256772024,Normal
2025-12-20 06:40:32.071044,68.0.156.14,119.214.40.86,HTTP,300,443,1,2,26,239,3.4977404850489417,0.053356202855057,Normal
2025-12-19 17:09:14.071044,114.214.193.167,140.61.208.205,TCP,253,443,1,53,14,749,2.845071248026683,0.12687026894027276,Normal
2025-12-20 04:49:08.071044,124.56.58.109,29.44.154.133,HTTP,359,8080,10,56,15,142,2.7420552715115005,0.13442710948117573,Normal
2025-12-20 13:56:44.071044,118.252.72.124,194.88.220.163,HTTP,454,8080,5,86,15,771,2.867783132719253,0.1264611661187159,Normal
2025-12-19 14:44:01.071044,31.138.7.97,226.18.73.157,HTTP,343,80,15,93,10,679,2.6507175439654294,0.10163975534814373,Normal
2025-12-20 10:48:30.071044,12.121.100.204,22.32.69.3,TCP,451,3389,18,20,13,883,2.516587828927856,0.1024186116598562,Normal
2025-12-19 19:04:52.071044,117.68.78.96,195.37.158.30,UDP,398,8080,6,82,29,891,3.440523264489604,0.07951440421750447,Normal
2025-12-19 23:00:39.071044,163.182.42.196,195.20.200.126,HTTP,328,3389,9,99,20,282,2.8410663510502587,0.022694704248117814,Normal
2025-12-19 19:42:48.071044,130.236.184.27,88.38.240.57,UDP,451,443,16,2,25,916,3.3172222002012157,0.11104016231989247,Normal
2025-12-20 00:49:51.071044,152.24.249.175,14.51.7.172,HTTP,503,8080,8,99,21,835,3.0582934536070976,0.17652726863786794,Normal
2025-12-20 16:28:56.071044,129.76.162.45,254.53.27.199,TCP,407,3389,0,24,12,647,3.3563242918780922,0.08090162542443802,Normal
2025-12-19 19:33:49.071044,93.216.158.77,64.238.15.134,UDP,274,8080,19,99,26,1155,2.661628714094614,0.17971083770541585,Normal
2025-12-20 15:11:43.071044,229.234.158.173,28.108.152.99,HTTP,298,3389,2,80,27,976,2.6608080514174985,0.10974675787331722,Normal
2025-12-20 15:01:22.071044,23.162.53.237,82.75.251.90,HTTP,368,443,15,20,13,1178,3.2121792213475358,0.04744981749936002,Normal
2025-12-20 16:07:22.071044,147.100.221.117,27.50.200.53,HTTP,394,80,18,86,26,1065,2.808060791852389,0.10850804611097986,Normal
2025-12-19 16:57:14.071044,22.165.174.86,144.18.81.43,UDP,437,80,7,27,15,46,3.478892858275009,0.09734843059189102,Normal
2025-12-20 02:08:37.071044,113.140.223.96,209.120.7.222,TCP,425,8080,4,61,10,835,3.076903884626359,0.09850353876377278,Normal
2025-12-19 23:09:55.071044,148.13.99.236,35.102.171.1,HTTP,346,22,16,44,13,177,2.5243159664314536,0.12909445918143356,Normal
2025-12-20 16:17:31.071044,66.123.159.11,126.207.111.222,HTTP,245,80,16,46,15,200,2.8701587002554443,0.003091323305773486,Normal
2025-12-20 10:10:27.071044,16.138.145.192,94.206.81.44,TCP,294,3389,0,67,12,147,3.480331583716046,0.015069251201225643,Normal
2025-12-19 21:10:52.071044,200.241.255.59,52.173.13.195,TCP,217,8080,7,46,19,645,3.436154774160781,0.1392059593349946,Normal
2025-12-19 19:26:25.071044,148.91.56.28,98.248.123.15,HTTP,487,8080,9,2,24,804,3.490053850104263,0.028016803047304806,Normal
2025-12-20 05:42:04.071044,161.19.26.198,224.244.114.85,TCP,303,22,6,93,10,778,2.636621331442029,0.14178219938202372,Normal
2025-12-20 06:54:07.071044,57.82.56.176,230.81.255.175,UDP,225,80,6,57,12,55,2.7562069435944583,0.12230274217313611,Normal
2025-12-20 17:27:48.071044,68.222.213.237,121.207.171.132,TCP,372,80,15,14,29,991,3.149963930777765,0.14039337545154068,Normal
2025-12-20 14:57:13.071044,51.37.243.165,237.215.112.51,HTTP,570,8080,18,25,24,594,2.875582952639944,0.018796387968173803,Normal
2025-12-20 10:14:52.071044,70.93.102.93,133.56.140.234,UDP,389,22,10,60,26,632,2.537348188749214,0.16452011213193166,Normal
2025-12-20 08:27:32.071044,34.108.72.252,30.88.82.146,HTTP,463,8080,5,96,21,903,3.46525183039077,0.09145303232274571,Normal
2025-12-19 18:28:36.071044,128.162.191.90,131.116.47.194,UDP,549,443,15,13,24,389,3.199512210767194,0.027670618483560273,Normal
2025-12-20 12:22:14.071044,45.175.169.15,73.67.79.128,TCP,323,80,18,92,19,1101,2.8229564729412457,0.15903723895374075,Normal
2025-12-19 18:59:24.071044,218.65.222.90,183.161.154.119,UDP,545,3389,8,12,14,1032,2.68433367433137,0.016174593323439537,Normal
2025-12-20 14:53:22.071044,203.197.34.145,244.199.253.15,UDP,328,3389,15,89,10,507,2.9423522297311044,0.04795747183148065,Normal
2025-12-19 20:06:08.071044,85.12.162.17,178.114.208.19,HTTP,436,3389,4,22,10,880,3.454865280663194,0.1475793833391537,Normal
